Cytokine,Cohort 1,Cohort 2,P-Value,Sex Counts Cohort 1,Sex Counts Cohort 2,Mean Cohort 1,Mean Cohort 2,P-Value Adjusted,Significant
MIP1β.P,SHIVERS,PICFLU,0.6087819991366663,{},{},1.1430905701095475,1.1103825993879008,1.0,False
MIP1β.P,SHIVERS,Nicaragua,4.776822885505515e-288,{},{},1.1430905701095475,4.342945178152238e-11,1.0700083263532353e-284,True
MIP1β.P,SHIVERS,Memphis,0.0,{},{},1.1430905701095475,4.342945178152236e-11,0.0,True
MIP1β.P,SHIVERS,Hopkins,7.953206773719899e-15,{},"{'Female': 146, 'Male': 106}",1.1430905701095475,0.4765508108897203,1.7815183173132574e-11,True
MIP1β.P,SHIVERS,FLU09,0.039096561849236426,{},"{'Female': 194, 'Male': 114}",1.1430905701095475,0.9540766979675992,1.0,False
MIP1β.P,SHIVERS,,,{},{},1.1430905701095475,,,False
MIP1β.P,PICFLU,Nicaragua,9.812423479003794e-169,{},{},1.1103825993879008,4.342945178152238e-11,2.19798285929685e-165,True
MIP1β.P,PICFLU,Memphis,0.0,{},{},1.1103825993879008,4.342945178152236e-11,0.0,True
MIP1β.P,PICFLU,Hopkins,1.7374185828482794e-22,{},"{'Female': 146, 'Male': 106}",1.1103825993879008,0.4765508108897203,3.8918176255801457e-19,True
MIP1β.P,PICFLU,FLU09,0.01661559500211474,{},"{'Female': 194, 'Male': 114}",1.1103825993879008,0.9540766979675992,1.0,False
MIP1β.P,PICFLU,,,{},{},1.1103825993879008,,,False
MIP1β.P,Nicaragua,Memphis,7.4738438592408245e-261,{},{},4.342945178152238e-11,4.342945178152236e-11,1.6741410244699446e-257,True
MIP1β.P,Nicaragua,Hopkins,1.8746986804478757e-33,{},"{'Female': 146, 'Male': 106}",4.342945178152238e-11,0.4765508108897203,4.199325044203242e-30,True
MIP1β.P,Nicaragua,FLU09,2.7280748985057134e-86,{},"{'Female': 194, 'Male': 114}",4.342945178152238e-11,0.9540766979675992,6.110887772652798e-83,True
MIP1β.P,Nicaragua,,,{},{},4.342945178152238e-11,,,False
MIP1β.P,Memphis,Hopkins,6.931389747533637e-110,{},"{'Female': 146, 'Male': 106}",4.342945178152236e-11,0.4765508108897203,1.5526313034475347e-106,True
MIP1β.P,Memphis,FLU09,2.249163993062447e-273,{},"{'Female': 194, 'Male': 114}",4.342945178152236e-11,0.9540766979675992,5.038127344459882e-270,True
MIP1β.P,Memphis,,,{},{},4.342945178152236e-11,,,False
MIP1β.P,Hopkins,FLU09,5.507531697472244e-12,"{'Female': 146, 'Male': 106}","{'Female': 194, 'Male': 114}",0.4765508108897203,0.9540766979675992,1.2336871002337828e-08,True
MIP1β.P,Hopkins,,,"{'Female': 146, 'Male': 106}",{},0.4765508108897203,,,False
MIP1β.P,FLU09,,,"{'Female': 194, 'Male': 114}",{},0.9540766979675992,,,False
PDGFAA.N,Taiwan,SHIVERS,4.879145888692125e-73,"{'Female': 112, 'Male': 80}",{},0.7663832869701058,4.342945178152237e-11,1.092928679067036e-69,True
PDGFAA.N,Taiwan,PICFLU,1.6700664827045718e-143,"{'Female': 112, 'Male': 80}",{},0.7663832869701058,4.3429451781522374e-11,3.7409489212582407e-140,True
PDGFAA.N,Taiwan,Nicaragua,5.2108484882589465e-229,"{'Female': 112, 'Male': 80}",{},0.7663832869701058,4.342945178152238e-11,1.167230061370004e-225,True
PDGFAA.N,Taiwan,Memphis,0.24043800095345932,"{'Female': 112, 'Male': 80}",{},0.7663832869701058,0.8339294647105232,1.0,False
PDGFAA.N,Taiwan,Hopkins,0.04299415071686874,"{'Female': 112, 'Male': 80}","{'Female': 146, 'Male': 106}",0.7663832869701058,0.8513658746031489,1.0,False
PDGFAA.N,Taiwan,FLU09,9.273332562494903e-186,"{'Female': 112, 'Male': 80}","{'Female': 194, 'Male': 114}",0.7663832869701058,4.342945178152237e-11,2.0772264939988582e-182,True
PDGFAA.N,Taiwan,,,"{'Female': 112, 'Male': 80}",{},0.7663832869701058,,,False
PDGFAA.N,SHIVERS,PICFLU,2.8269004665273084e-18,{},{},4.342945178152237e-11,4.3429451781522374e-11,6.3322570450211705e-15,True
PDGFAA.N,SHIVERS,Nicaragua,4.532239002070038e-19,{},{},4.342945178152237e-11,4.342945178152238e-11,1.0152215364636885e-15,True
PDGFAA.N,SHIVERS,Memphis,3.3451241513346537e-22,{},{},4.342945178152237e-11,0.8339294647105232,7.493078098989624e-19,True
PDGFAA.N,SHIVERS,Hopkins,6.988410376836457e-40,{},"{'Female': 146, 'Male': 106}",4.342945178152237e-11,0.8513658746031489,1.5654039244113665e-36,True
PDGFAA.N,SHIVERS,FLU09,,{},"{'Female': 194, 'Male': 114}",4.342945178152237e-11,4.342945178152237e-11,,False
PDGFAA.N,SHIVERS,,,{},{},4.342945178152237e-11,,,False
PDGFAA.N,PICFLU,Nicaragua,8.994351963621446e-12,{},{},4.3429451781522374e-11,4.342945178152238e-11,2.0147348398512038e-08,True
PDGFAA.N,PICFLU,Memphis,8.6183272275336e-52,{},{},4.3429451781522374e-11,0.8339294647105232,1.9305052989675264e-48,True
PDGFAA.N,PICFLU,Hopkins,1.8051983541413274e-84,{},"{'Female': 146, 'Male': 106}",4.3429451781522374e-11,0.8513658746031489,4.0436443132765734e-81,True
PDGFAA.N,PICFLU,FLU09,1.7738981150563974e-54,{},"{'Female': 194, 'Male': 114}",4.3429451781522374e-11,4.342945178152237e-11,3.97353177772633e-51,True
PDGFAA.N,PICFLU,,,{},{},4.3429451781522374e-11,,,False
PDGFAA.N,Nicaragua,Memphis,1.9711221751426855e-88,{},{},4.342945178152238e-11,0.8339294647105232,4.4153136723196156e-85,True
PDGFAA.N,Nicaragua,Hopkins,3.785390673737471e-138,{},"{'Female': 146, 'Male': 106}",4.342945178152238e-11,0.8513658746031489,8.479275109171936e-135,True
PDGFAA.N,Nicaragua,FLU09,2.3785583686084476e-57,{},"{'Female': 194, 'Male': 114}",4.342945178152238e-11,4.342945178152237e-11,5.327970745682922e-54,True
PDGFAA.N,Nicaragua,,,{},{},4.342945178152238e-11,,,False
PDGFAA.N,Memphis,Hopkins,0.7358495886797174,{},"{'Female': 146, 'Male': 106}",0.8339294647105232,0.8513658746031489,1.0,False
PDGFAA.N,Memphis,FLU09,5.33861129702344e-70,{},"{'Female': 194, 'Male': 114}",0.8339294647105232,4.342945178152237e-11,1.1958489305332505e-66,True
PDGFAA.N,Memphis,,,{},{},0.8339294647105232,,,False
PDGFAA.N,Hopkins,FLU09,4.431465260363503e-111,"{'Female': 146, 'Male': 106}","{'Female': 194, 'Male': 114}",0.8513658746031489,4.342945178152237e-11,9.926482183214247e-108,True
PDGFAA.N,Hopkins,,,"{'Female': 146, 'Male': 106}",{},0.8513658746031489,,,False
PDGFAA.N,FLU09,,,"{'Female': 194, 'Male': 114}",{},4.342945178152237e-11,,,False
