Cell Total WBC x10^9/L,,,,,,Neutrophils %,,,,,,Lymphocytes %,,,,,,Monocytes %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uninfected,Time,,H3N2 Infected,Time,,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,cells/mL,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,10^9 cells/mL,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,10^9 cells/L,cells/mL,,,,,,,,,,,,,,,,,,,,,,,
5.99826242,4,5.99826242,4.114036107,4,,49.93464842,4,,51.69267001,4,,37.95338108,4,,32.86125737,4,,7.881237261,4,,12.81298418,4,,,5.99826242,4,,4.114036107,4,,2.995211251,4,,2.126655109,,,2.276543394,,,1.351923993,,,0.472737293,,,0.527130796,
1.129072376,top sd,1.166276856,0.674971001,top sd,,3.091095957,top sd,,17.954574,top sd,,4.059317372,top sd,,6.967758176,top sd,,1.252965822,top sd,,3.039519204,top sd,,,1.129072376,Var,,0.674971001,Var,,3.017775533,Var,,18.0079565,Var,,4.133340542,Var,,7.052673534,Var,,1.244150935,Var,,3.0859408,Var
1.203481336,bottom sd,,0.708638553,bottom sd,,2.944455109,bottom sd,,18.061339,bottom sd,,4.207363712,bottom sd,,7.137588891,bottom sd,,1.235336048,bottom sd,,3.132362396,bottom sd,,,1.203481336,1.360201705,,0.708638553,0.478593849,,,0.000910697,,,0.03242865,,,0.00170845,,,0.00497402,,,0.000154791,,,0.000952303
6.045022404,5,6.045022404,3.803549642,5,,48.72846926,5,,45.45141986,5,,38.46615739,5,,41.1890038,5,,8.727466447,5,,11.45851675,5,,,6.045022404,5,,3.803549642,5,,2.945646884,5,,1.728767317,,,2.325287832,,,1.566644207,,,0.527577302,,,0.435830373,
1.431670815,top sd,1.488351807,0.697822306,top sd,,2.82621138,top sd,,12.02367701,top sd,,4.083556486,top sd,,7.377902708,top sd,,1.350920606,top sd,,2.346742081,top sd,,,1.431670815,Var,,0.697822306,Var,,2.82621138,Var,,12.1664372,Var,,4.210911475,Var,,7.472047996,Var,,1.401932203,Var,,2.388886632,Var
1.5450328,bottom sd,,0.653420972,bottom sd,,,bottom sd,,12.30919738,bottom sd,,4.338266464,bottom sd,,7.566193283,bottom sd,,1.452943799,bottom sd,,2.431031182,bottom sd,,,1.5450328,2.215191103,,0.653420972,0.456464599,,,0.000798747,,,0.014802219,,,0.001773178,,,0.00558315,,,0.000196541,,,0.000570678
6.229623323,6,6.229623323,4.16860305,6,,51.96015422,6,,44.90272427,6,,36.11597025,6,,43.46627929,6,,8.314366401,6,,9.347429471,6,,,6.229623323,6,,4.16860305,6,,3.236921886,6,,1.871816333,,,2.249888906,,,1.811936644,,,0.517953708,,,0.38965723,
1.385723604,top sd,1.411706148,0.631626342,top sd,,3.10925149,top sd,,9.357153067,top sd,,3.929909242,top sd,,9.449770301,top sd,,1.343305378,top sd,,1.839025433,top sd,,,1.385723604,Var,,0.631626342,Var,,3.131131236,Var,,9.279195267,Var,,3.972424711,Var,,9.627824044,Var,,1.345339583,Var,,1.858063504,Var
1.437688693,bottom sd,,0.58836345,bottom sd,,3.153010981,bottom sd,,9.201237467,bottom sd,,4.01494018,bottom sd,,9.805877787,bottom sd,,1.347373787,bottom sd,,1.877101574,bottom sd,,,1.437688693,1.99291425,,0.58836345,0.372093773,,,0.00115883,,,0.008610346,,,0.001578016,,,0.0092695,,,0.000180994,,,0.00034524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Total WBC x10^3/uL,,,,,,Neutrophils %,,,,,,Lymphocytes %,,,,,,Monocytes %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uninfected (total=8),,,H3N2 Infected (total=9),,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,-1,7436.147306,Avg,-1,5808.863831,Avg,-1,56.93570144,Avg,-1,58.88625748,Avg,-1,32.84166558,Avg,-1,32.0399614,Avg,-1,7.059731487,Avg,-1,7.626492233,,,,,,,,,,,,,,,,,,,,,,,,
SD,,2141.569586,SD,,869.9401977,SD,,3.404162527,SD,,10.93614853,SD,,3.647417631,SD,,7.315474817,SD,,1.126271376,SD,,2.561428923,,,,,,,,,,,,,,,,,,,,,,,,
Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,0,5904.742451,Avg,0,4670.602852,Avg,0,50.26796539,Avg,0,53.08672834,Avg,0,38.26999468,Avg,0,35.85947431,Avg,0,7.959788861,Avg,0,8.933912152,,,,,,,,,,,,,,,,,,,,,,,,
SD,,2602.786224,SD,,1209.01141,SD,,2.977973017,SD,,10.93661405,SD,,4.141359063,SD,,4.976610518,SD,,1.166955472,SD,,2.178581153,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,1,6298.746809,Avg,1,5748.767513,Avg,1,52.42661177,Avg,1,67.78014125,Avg,1,35.32126085,Avg,1,20.75460972,Avg,1,8.366003906,Avg,1,9.288698328,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1310.013368,SD,,829.8483803,SD,,3.085975165,SD,,10.54533903,SD,,3.779618346,SD,,5.611461895,SD,,1.349251515,SD,,2.465560504,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,2,5869.123683,Avg,2,4952.057299,Avg,2,49.51660562,Avg,2,63.63341975,Avg,2,38.57542219,Avg,2,21.52522498,Avg,2,8.305290718,Avg,2,12.64962189,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1413.535762,SD,,1339.370355,SD,,2.955394982,SD,,10.67899516,SD,,4.232913899,SD,,9.133938873,SD,,1.327083899,SD,,2.430248795,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,3,6231.331335,Avg,3,4108.587799,Avg,3,50.23817169,Avg,3,53.29655413,Avg,3,37.5360771,Avg,3,29.95366156,Avg,3,8.033646142,Avg,3,14.37702685,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1511.975702,SD,,962.1592399,SD,,3.052922784,SD,,13.94163558,SD,,4.164481143,SD,,4.079125674,SD,,1.245872185,SD,,2.908860667,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,4,5998.26242,Avg,4,4114.036107,Avg,4,49.93464842,Avg,4,51.69267001,Avg,4,37.95338108,Avg,4,32.86125737,Avg,4,7.881237261,Avg,4,12.81298418,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1166.276856,SD,,691.804777,SD,,3.017775533,SD,,18.0079565,SD,,4.133340542,SD,,7.052673533,SD,,1.244150935,SD,,3.0859408,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,5,6045.022404,Avg,5,3803.549642,Avg,5,48.72846926,Avg,5,45.45141986,Avg,5,38.46615739,Avg,5,41.1890038,Avg,5,8.727466447,Avg,5,11.45851675,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1488.351807,SD,,675.621639,SD,,25.77734032,SD,,12.1664372,SD,,4.210911475,SD,,7.472047996,SD,,1.401932203,SD,,2.388886631,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,6,6229.623323,Avg,6,4168.60305,Avg,6,51.96015422,Avg,6,44.90272427,Avg,6,36.11597025,Avg,6,43.46627929,Avg,6,8.314366401,Avg,6,9.347429471,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1411.706148,SD,,609.9948963,SD,,3.131131236,SD,,9.279195267,SD,,3.972424711,SD,,9.627824044,SD,,1.345339583,SD,,1.858063504,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Total WBC x10^3/uL,,,,,,Neutrophils %,,,,,,Lymphocytes %,,,,,,Monocytes %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uninfected (total=8),,,H3N2 Infected (total=9),,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,Uninfected,,,H3N2 Infected,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,-1,7436.147306,Avg,-1,5808.863831,Avg,-1,4233.822629,Avg,-1,3420.622512,Avg,-1,2442.15463,Avg,-1,1861.157729,Avg,-1,524.9720328,Avg,-1,443.0125489,,,,,,,,,,,,,,,,,,,,,,,,
SD,,2141.569586,SD,,869.9401977,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,0,5904.742451,Avg,0,4670.602852,Avg,0,2968.193892,Avg,0,2479.470248,Avg,0,2259.744622,Avg,0,1674.85363,Avg,0,470.0050319,Avg,0,417.2675558,,,,,,,,,,,,,,,,,,,,,,,,
SD,,2602.786224,SD,,1209.01141,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,1,6298.746809,Avg,1,5748.767513,Avg,1,3302.219536,Avg,1,3896.52274,Avg,1,2224.796791,Avg,1,1193.134261,Avg,1,526.9534041,Avg,1,533.9856719,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1310.013368,SD,,829.8483803,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,2,5869.123683,Avg,2,4952.057299,Avg,2,2906.190827,Avg,2,3151.163407,Avg,2,2264.03924,Avg,2,1065.941475,Avg,2,487.4477845,Avg,2,626.4165241,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1413.535762,SD,,1339.370355,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,3,6231.331335,Avg,3,4108.587799,Avg,3,3130.506935,Avg,3,2189.73572,Avg,3,2338.997334,Avg,3,1230.672484,Avg,3,500.6031094,Avg,3,590.692771,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1511.975702,SD,,962.1592399,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,4,5998.26242,Avg,4,4114.036107,Avg,4,2995.211251,Avg,4,2126.655109,Avg,4,2276.543394,Avg,4,1351.923993,Avg,4,472.7372929,Avg,4,527.1307955,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1166.276856,SD,,691.804777,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,5,6045.022404,Avg,5,3803.549642,Avg,5,2945.646884,Avg,5,1728.767317,Avg,5,2325.287832,Avg,5,1566.644207,Avg,5,527.577302,Avg,5,435.8303728,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1488.351807,SD,,675.621639,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg,6,6229.623323,Avg,6,4168.60305,Avg,6,3236.921886,Avg,6,1871.816333,Avg,6,2249.888906,Avg,6,1811.936644,Avg,6,517.9537085,Avg,6,389.65723,,,,,,,,,,,,,,,,,,,,,,,,
SD,,1411.706148,SD,,609.9948963,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
