rep,id,eta_beta,eta_k,eta_delta,eta_delta_E,eta_Kd,eta_p,eta_c,eta_xi,eta_K_Ef,eta_eta,eta_tau_E,eta_d_E,eta_EB
7,311,-0.211782,-0.205262,-0.0161365,1.62328,0.394318,0.315449,0.0637201,0.795429,-1.4401,1.38661,-0.50577,-0.410418,0
8,311,0.0567769,0.151286,8.58255,1.17818,-0.634388,-0.378652,0.146097,0.247978,-0.0540548,1.30392,-0.674922,0.194201,0
9,311,-0.0447255,-0.350773,-3.37548,-0.052345,0.381506,0.0316658,-0.160192,2.46989,1.6629,1.00107,-1.45642,-1.03303,0
10,311,-0.0439102,0.31103,2.20611,0.843424,0.105671,-0.24476,0.0567491,-1.1793,0.271725,-0.0641931,1.74046,1.45146,0
1,312,-0.114456,-1.01883,1.12397,-0.116593,-1.10688,-0.515001,-0.105339,-0.753345,1.84342,1.97022,-0.524226,0.63907,0
2,312,-0.0954223,-1.68269,3.46328,-2.83195,0.262675,0.0512688,0.0141454,-1.90249,0.62821,-2.72197,-1.95125,-0.541646,0
3,312,0.095727,-0.485993,-1.18179,-1.41756,-0.469318,-1.00567,0.123021,-1.47478,-0.282573,-1.35013,0.260127,0.672078,0
4,312,-0.284327,-0.184179,-4.11433,-0.152131,-0.192832,-1.08151,0.078838,-0.0828701,1.1997,-1.5377,-1.29359,-0.66896,0
5,312,0.0395202,-0.816842,2.19029,0.600757,-0.227554,-0.865468,0.0182548,-0.363154,0.643263,-1.26334,-0.966253,0.792296,0
6,312,-0.152772,-1.3177,1.86543,0.0178613,0.903389,-0.18419,0.08826,-0.846181,0.421452,-1.36462,-0.92754,1.29208,0
7,312,0.100245,-1.06,-0.934269,-0.159484,0.292787,-1.02466,-0.254745,-0.675009,1.99047,0.361324,-0.812071,0.509827,0
8,312,0.173274,0.593856,-6.39687,0.0402251,-0.719956,-0.442597,0.452181,2.14867,-0.494049,-0.803246,0.15354,0.0280014,0
9,312,-0.0065827,-0.363444,4.0635,0.447305,0.378179,-1.13583,0.00469586,-2.45864,0.272256,0.87604,-1.39297,0.403852,0
10,312,-0.0876094,-0.901811,-3.47692,-0.35271,-0.595958,-0.533027,0.0956118,0.875017,0.122928,0.0511238,-1.51057,-0.753069,0
